player_name,season,team
Apoorv Vijay Wankhade,2018,Kolkata Knight Riders
Apoorv Vijay Wankhade,2026,Kolkata Knight Riders
Arjun Tendulkar,2021,Mumbai Indians
Arjun Tendulkar,2022,Mumbai Indians
Arjun Tendulkar,2023,Mumbai Indians
Arjun Tendulkar,2024,Mumbai Indians
Arjun Tendulkar,2025,Mumbai Indians
Arjun Tendulkar,2026,Mumbai Indians
Armaan Jaffer,2016,Punjab Kings
Armaan Jaffer,2026,Punjab Kings
Arshad Khan,2023,Mumbai Indians
Arshad Khan,2024,Lucknow Super Giants
Arshad Khan (2),2024,Lucknow Super Giants
Arshdeep Singh,2019,Punjab Kings
Arshdeep Singh,2020,Punjab Kings
Arshdeep Singh,2021,Punjab Kings
Arshdeep Singh,2022,Punjab Kings
Arshdeep Singh,2023,Punjab Kings
Arshdeep Singh,2024,Punjab Kings
Arshdeep Singh,2025,Punjab Kings
Arshdeep Singh,2026,Punjab Kings
Arshin Kulkarni,2024,Lucknow Super Giants
Arshin Kulkarni,2025,Lucknow Super Giants
Arshin Kulkarni,2026,Lucknow Super Giants
Aryaman Vikram Birla,2018,Rajasthan Royals
Aryaman Vikram Birla,2026,Rajasthan Royals
Aryan Juyal,2022,Mumbai Indians
Aryan Juyal,2025,Lucknow Super Giants
Aryan Juyal,2026,Lucknow Super Giants
Asela Gunarathna,2017,Mumbai Indians
Asela Gunarathna,2026,Mumbai Indians
Ashish Nehra,2014,Chennai Super Kings
Ashish Nehra,2016,Sunrisers Hyderabad
Ashish Nehra,2026,Sunrisers Hyderabad
Ashish Reddy,2014,Sunrisers Hyderabad
Ashish Reddy,2026,Sunrisers Hyderabad
Ashok Dinda,2014,Royal Challengers Bengaluru
Ashok Dinda,2016,Rising Pune Supergiant
Ashok Dinda,2026,Rising Pune Supergiant
Ashok Sharma,2022,Kolkata Knight Riders
Ashok Sharma,2025,Rajasthan Royals
Ashok Sharma,2026,Gujarat Titans
Ashton Turner,2019,Rajasthan Royals
Ashton Turner,2024,Lucknow Super Giants
Ashton Turner,2026,Lucknow Super Giants
Ashutosh Sharma,2024,Punjab Kings
Ashutosh Sharma,2025,Delhi Capitals
Ashutosh Sharma,2026,Delhi Capitals
Ashwani Kumar,2025,Mumbai Indians
Ashwani Kumar,2026,Mumbai Indians
Ashwin Hebbar,2022,Delhi Capitals
Ashwin Hebbar,2026,Delhi Capitals
Asif K M,2018,Chennai Super Kings
Asif K M,2026,Chennai Super Kings
Atharva Ankolekar,2026,Mumbai Indians
Atharva Taide,2022,Punjab Kings
Atharva Taide,2023,Punjab Kings
Atharva Taide,2024,Punjab Kings
Atharva Taide,2025,Sunrisers Hyderabad
Atharva Taide,2026,Sunrisers Hyderabad
Auqib Dar,2026,Delhi Capitals
Avanish Rao Aravelly,2024,Chennai Super Kings
Avanish Rao Aravelly,2026,Chennai Super Kings
Avesh Khan,2017,Royal Challengers Bengaluru
Avesh Khan,2018,Delhi Capitals
Avesh Khan,2019,Delhi Capitals
Avesh Khan,2020,Delhi Capitals
Avesh Khan,2021,Delhi Capitals
Avesh Khan,2022,Lucknow Super Giants
Avesh Khan,2023,Lucknow Super Giants
Avesh Khan,2024,Rajasthan Royals
Avesh Khan,2025,Lucknow Super Giants
Avesh Khan,2026,Lucknow Super Giants
Avinash Singh,2023,Royal Challengers Bengaluru
Avinash Singh,2026,Royal Challengers Bengaluru
Axar Rajesh Patel,2019,Delhi Capitals
Axar Rajesh Patel,2026,Delhi Capitals
Ayush Badoni,2022,Lucknow Super Giants
Ayush Badoni,2026,Lucknow Super Giants
Azhar Mahmood,2012,Punjab Kings
Azhar Mahmood,2013,Punjab Kings
Azhar Mahmood,2015,Kolkata Knight Riders
Azmatullah Omarzai,2024,Gujarat Titans
Azmatullah Omarzai,2025,Punjab Kings
Azmatullah Omarzai,2026,Punjab Kings
B Akhil,2008,Royal Challengers Bengaluru
B Akhil,2009,Royal Challengers Bengaluru
B Akhil,2010,Royal Challengers Bengaluru
B Akhil,2011,Kochi Tuskers Kerala
B Chipli,2008,Royal Challengers Bengaluru
B Chipli,2011,Deccan Chargers
B Chipli,2012,Deccan Chargers
B Chipli,2013,Delhi Capitals
B Geeves,2008,Delhi Capitals
B Indrajith,2022,Kolkata Knight Riders
B Kumar,2011,Pune Warriors
B Kumar,2012,Pune Warriors
B Kumar,2013,Pune Warriors
B Kumar,2014,Sunrisers Hyderabad
B Kumar,2015,Sunrisers Hyderabad
B Kumar,2016,Sunrisers Hyderabad
B Kumar,2017,Sunrisers Hyderabad
B Kumar,2018,Sunrisers Hyderabad
B Kumar,2019,Sunrisers Hyderabad
B Kumar,2020,Sunrisers Hyderabad
B Kumar,2021,Sunrisers Hyderabad
B Kumar,2022,Sunrisers Hyderabad
B Kumar,2023,Sunrisers Hyderabad
B Kumar,2024,Sunrisers Hyderabad
B Laughlin,2013,Chennai Super Kings
B Laughlin,2018,Rajasthan Royals
B Lee,2008,Punjab Kings
B Lee,2009,Punjab Kings
B Lee,2010,Punjab Kings
B Lee,2011,Kolkata Knight Riders
B Lee,2012,Kolkata Knight Riders
B Lee,2013,Kolkata Knight Riders
B Sai Sudharsan,2022,Gujarat Titans
B Sai Sudharsan,2023,Gujarat Titans
B Sai Sudharsan,2024,Gujarat Titans
B Stanlake,2017,Royal Challengers Bengaluru
B Stanlake,2018,Sunrisers Hyderabad
B Sumanth,2010,Deccan Chargers
B. Sai Sudharsan,2022,Gujarat Titans
